EC Number	Organism	pH Optimum
3.1.1.2	Archaeoglobus fulgidus	7.0
3.1.1.2	Pseudomonas oleovorans	7.0
3.1.1.2	Lacticaseibacillus casei	7.0
3.1.1.2	Saccharolobus solfataricus	7.0
3.1.1.2	Gluconobacter oxydans	7.0
3.1.1.2	Triticum aestivum	7.2
3.1.1.2	Avena fatua	7.2
3.1.1.2	Alopecurus myosuroides	7.2
3.1.1.2	Homo sapiens	7.4
3.1.1.2	Rattus norvegicus	7.4
3.1.1.2	Macrobrachium lamarrei	7.4
3.1.1.2	Lactobacillus helveticus	7.5
3.1.1.2	Cavia porcellus	7.6
3.1.1.2	Felis catus	7.8
3.1.1.2	Sinorhizobium meliloti 1021	8.0
3.1.1.2	uncultured organism	8.0
3.1.1.2	Oryctolagus cuniculus	8.0
3.1.1.2	Saccharomyces cerevisiae	8.0
3.1.1.2	Bos taurus	8.0
3.1.1.2	Vulcanisaeta moutnovskia	8.0
3.1.1.2	Sulfolobus acidocaldarius	8.3
3.1.1.2	Brevundimonas diminuta	8.5
3.1.1.3	Aspergillus niger	2.5
3.1.1.3	Fagopyrum esculentum	3.0
3.1.1.3	Oryctolagus cuniculus	4.0
3.1.1.3	Rhodotorula mucilaginosa	4.0
3.1.1.3	Diutina rugosa	4.0
3.1.1.3	Bos taurus	4.3
3.1.1.3	Ricinus communis	4.5
3.1.1.3	Homo sapiens	4.5
3.1.1.3	Carica papaya	4.5
3.1.1.3	Penicillium camemberti	5.0
3.1.1.3	Rhizopus japonicus	5.0
3.1.1.3	Olea europaea	5.0
3.1.1.3	Candida cyclindraceae	5.0
3.1.1.3	Candida albicans	5.0
3.1.1.3	Penicillium cyclopium	5.5
3.1.1.3	Pseudomonas aeruginosa	6.0
3.1.1.3	Saccharolobus solfataricus	6.0
3.1.1.3	Arabidopsis thaliana	6.0
3.1.1.3	Yarrowia lipolytica	6.0
3.1.1.3	Staphylococcus epidermidis	6.0
3.1.1.3	Thermomyces lanuginosus	6.0
3.1.1.3	Trichoderma reesei	6.0
3.1.1.3	Aspergillus nidulans	6.5
3.1.1.3	Rhizopus arrhizus	6.5
3.1.1.3	Hyphopichia burtonii	6.5
3.1.1.3	Candida parapsilosis	6.5
3.1.1.3	Staphylococcus xylosus	6.5
3.1.1.3	Geotrichum candidum	7.0
3.1.1.3	Psychrobacter sp.	7.0
3.1.1.3	Pseudoalteromonas sp.	7.0
3.1.1.3	Geobacillus stearothermophilus	7.0
3.1.1.3	Penicillium aurantiogriseum	7.0
3.1.1.3	Cupriavidus necator	7.0
3.1.1.3	Neurospora crassa	7.0
3.1.1.3	Priestia megaterium	7.0
3.1.1.3	Pseudomonas fluorescens	7.0
3.1.1.3	Arthrobacter sp.	7.0
3.1.1.3	Streptomyces sp.	7.0
3.1.1.3	Burkholderia cepacia	7.0
3.1.1.3	Penicillium roqueforti	7.0
3.1.1.3	Rhizopus niveus	7.0
3.1.1.3	Mucor javanicus	7.0
3.1.1.3	Moesziomyces antarcticus	7.0
3.1.1.3	Cephaloleia presignis	7.0
3.1.1.3	Serratia marcescens	7.0
3.1.1.3	Bacillus subtilis	7.0
3.1.1.3	Mus musculus	7.0
3.1.1.3	Rattus norvegicus	7.0
3.1.1.3	Sus scrofa	7.0
3.1.1.3	Fusarium solani	7.0
3.1.1.3	Rhizomucor miehei	7.0
3.1.1.3	Chromobacterium viscosum	7.0
3.1.1.3	Alcaligenes ssp.	7.0
3.1.1.3	Penicillium wortmanii	7.0
3.1.1.3	Staphylococcus warneri	7.0
3.1.1.3	Penicillium verrucosum	7.0
3.1.1.3	Pyrococcus furiosus	7.0
3.1.1.3	Fusarium graminearum	7.0
3.1.1.3	Pseudomonas sp.	7.0
3.1.1.3	uncultured bacterium	7.2
3.1.1.3	Oryza sativa	7.4
3.1.1.3	Rhodotorula glutinis	7.5
3.1.1.3	Helianthus annuus	7.5
3.1.1.3	Micrococcus sp.	7.5
3.1.1.3	Blastobotrys adeninivorans	7.5
3.1.1.3	Geobacillus thermocatenulatus	7.5
3.1.1.3	Brassica napus	7.5
3.1.1.3	Fervidobacterium changbaicum	7.8
3.1.1.3	Acinetobacter calcoaceticus	7.8
3.1.1.3	Manduca sexta	7.9
3.1.1.3	Triticum aestivum	8.0
3.1.1.3	Lysinibacillus sphaericus	8.0
3.1.1.3	Bacillus cereus	8.0
3.1.1.3	Bacillus sp. (in: Bacteria)	8.0
3.1.1.3	Bacillus licheniformis	8.0
3.1.1.3	Amycolatopsis mediterranei	8.0
3.1.1.3	Pseudomonas mendocina	8.0
3.1.1.3	Acinetobacter sp.	8.0
3.1.1.3	Rhizopus microsporus var. chinensis	8.0
3.1.1.3	Todarodes pacificus	8.0
3.1.1.3	Hyalomma dromedarii	8.0
3.1.1.3	Burkholderia sp.	8.0
3.1.1.3	Geobacillus sp.	8.0
3.1.1.3	Pseudomonas fragi	8.0
3.1.1.3	Geotrichum marinum	8.0
3.1.1.3	Acinetobacter baylyi	8.0
3.1.1.3	Haloarcula sp.	8.0
3.1.1.3	Microbacterium phyllosphaerae	8.0
3.1.1.3	Aureobasidium pullulans	8.0
3.1.1.3	Thermobifida fusca	8.0
3.1.1.3	Trichosporon asahii	8.0
3.1.1.3	Thermomyces dupontii	8.0
3.1.1.3	Solanum lycopersicum	8.0
3.1.1.3	Saccharomyces cerevisiae	8.0
3.1.1.3	Homarus americanus	8.0
3.1.1.3	Penicillium expansum	8.0
3.1.1.3	Rhizopus homothallicus	8.0
3.1.1.3	Burkholderia plantarii	8.0
3.1.1.3	Liza parsia	8.0
3.1.1.3	Oncorhynchus tshawytscha	8.0
3.1.1.3	Macruronus novaezelandiae	8.0
3.1.1.3	Geobacillus thermoleovorans	8.0
3.1.1.3	Mycobacterium tuberculosis	8.0
3.1.1.3	Lymantria dispar	8.2
3.1.1.3	Testudo graeca nabeulensis	8.2
3.1.1.3	Thermosyntropha lipolytica	8.2
3.1.1.3	Weizmannia coagulans	8.5
3.1.1.3	Bacillus pumilus	8.5
3.1.1.3	Aspergillus fumigatus	8.5
3.1.1.3	Staphylococcus simulans	8.5
3.1.1.3	Meleagris gallopavo	8.5
3.1.1.3	Struthio camelus	8.5
3.1.1.3	Gallus gallus	8.5
3.1.1.3	Archaeoglobus fulgidus	8.5
3.1.1.3	Pseudoalteromonas haloplanktis	8.5
3.1.1.3	Aspergillus carneus	9.0
3.1.1.3	Penicillium candidum	9.0
3.1.1.3	Scorpio maurus	9.0
3.1.1.3	Malbranchea cinnamomea	9.0
3.1.1.3	Burkholderia multivorans	9.0
3.1.1.3	Thermus thermophilus	10.0
3.1.1.3	Proteus vulgaris	10.0
3.1.1.3	Ralstonia sp.	10.8
3.1.1.4	Homo sapiens	1.8
3.1.1.4	Rattus norvegicus	4.0
3.1.1.4	Bos taurus	4.0
3.1.1.4	Mus musculus	4.5
3.1.1.4	Trimorphodon lambda	5.5
3.1.1.4	Pseudomonas aeruginosa	6.0
3.1.1.4	Nicotiana tabacum	6.0
3.1.1.4	Trichomonas vaginalis	6.0
3.1.1.4	Streptomyces violaceoruber	6.0
3.1.1.4	Sus scrofa	6.0
3.1.1.4	Trypanosoma congolense	6.5
3.1.1.4	Vicia faba	7.0
3.1.1.4	Arabidopsis thaliana	7.0
3.1.1.4	Pyrococcus horikoshii	7.0
3.1.1.4	Streptomyces cinnamoneus	7.0
3.1.1.4	Cavia porcellus	7.0
3.1.1.4	Pectobacterium carotovorum	7.2
3.1.1.4	Daboia siamensis	7.4
3.1.1.4	Agkistrodon piscivorus piscivorus	7.4
3.1.1.4	Daboia russelii russelii	7.4
3.1.1.4	Apis mellifera	7.4
3.1.1.4	Caenorhabditis elegans	7.5
3.1.1.4	Protobothrops flavoviridis	7.5
3.1.1.4	Naja atra	7.5
3.1.1.4	Daboia russelii	7.5
3.1.1.4	Naja naja	7.5
3.1.1.4	Trimeresurus malabaricus	7.5
3.1.1.4	Echis carinatus	7.5
3.1.1.4	Laticauda semifasciata	7.6
3.1.1.4	Exaiptasia diaphana	7.7
3.1.1.4	Meleagris gallopavo	8.0
3.1.1.4	Streptomyces coelicolor	8.0
3.1.1.4	Camelus dromedarius	8.0
3.1.1.4	Lonomia obliqua	8.0
3.1.1.4	Lachesis muta muta	8.0
3.1.1.4	Tribolium castaneum	8.0
3.1.1.4	Bothrocophias hyoprora	8.0
3.1.1.4	Diplodus annularis	8.0
3.1.1.4	Crotalus oreganus lutosus	8.0
3.1.1.4	Calloselasma rhodostoma	8.0
3.1.1.4	Crotalus adamanteus	8.0
3.1.1.4	Bothrops jararacussu	8.0
3.1.1.4	Bothrops alternatus	8.0
3.1.1.4	Bothrops insularis	8.0
3.1.1.4	Oryctolagus cuniculus	8.0
3.1.1.4	Bungarus multicinctus	8.0
3.1.1.4	Vibrio mimicus	8.0
3.1.1.4	Struthio camelus	8.2
3.1.1.4	Crotalus durissus cascavella	8.3
3.1.1.4	Hexaplex trunculus	8.5
3.1.1.4	Dasyatis pastinaca	8.5
3.1.1.4	Patiria pectinifera	9.0
3.1.1.4	Mesocricetus auratus	9.0
3.1.1.4	Crotalus durissus terrificus	9.0
3.1.1.4	Pagrus major	9.0
3.1.1.4	Mammalia	9.5
3.1.1.4	Gallus gallus	9.5
3.1.1.5	Kluyveromyces lactis	2.0
3.1.1.5	Schizosaccharomyces pombe	2.5
3.1.1.5	Cyberlindnera jadinii	3.0
3.1.1.5	Saccharomyces cerevisiae	3.5
3.1.1.5	Penicillium chrysogenum	4.0
3.1.1.5	Cryptococcus neoformans	4.0
3.1.1.5	Cryptococcus gattii VGIII	4.5
3.1.1.5	Rattus norvegicus	6.0
3.1.1.5	Mycobacterium leprae	6.0
3.1.1.5	Candida albicans	6.0
3.1.1.5	Bos taurus	6.0
3.1.1.5	Acanthamoeba castellanii	6.5
3.1.1.5	Homo sapiens	7.0
3.1.1.5	Pyrococcus furiosus	7.0
3.1.1.5	Taiwanofungus camphoratus	7.0
3.1.1.5	Spiroplasma eriocheiris	7.0
3.1.1.5	Mus musculus	7.3
3.1.1.5	Caldibacillus thermoamylovorans	7.5
3.1.1.5	Vibrio cholerae serotype O1	8.0
3.1.1.5	Thermococcus kodakarensis	8.0
3.1.1.5	Arabidopsis thaliana	8.0
3.1.1.5	Hordeum vulgare	8.0
3.1.1.5	Sus scrofa	8.0
3.1.1.5	Oryctolagus cuniculus	8.0
3.1.1.5	Gallus gallus	8.0
3.1.1.5	Bacillus subtilis	8.5
3.1.1.6	Aspergillus oryzae	4.5
3.1.1.6	Talaromyces purpureogenus	5.3
3.1.1.6	Aspergillus niger	5.5
3.1.1.6	Trichoderma reesei	5.5
3.1.1.6	Talaromyces pinophilus	6.0
3.1.1.6	Vitis vinifera	6.2
3.1.1.6	Lactiplantibacillus plantarum	6.7
3.1.1.6	Fibrobacter succinogenes	7.0
3.1.1.6	Escherichia coli	7.1
3.1.1.6	Nocardia sp.	7.5
3.1.1.6	Meyerozyma guilliermondii	7.5
3.1.1.6	Streptomyces lividans	7.5
3.1.1.6	Thermotoga maritima	7.5
3.1.1.6	Eleusine coracana	7.5
3.1.1.6	Pseudomonas putida	7.5
3.1.1.6	Bacillus pumilus	8.0
3.1.1.6	Acinetobacter sp.	8.0
3.1.1.6	Lichtheimia corymbifera	8.0
3.1.1.6	Rhodotorula mucilaginosa	8.0
3.1.1.6	Cymbopogon martinii	8.5
3.1.1.6	Orpinomyces sp.	9.0
3.1.1.6	Kluyveromyces marxianus	9.0
3.1.1.7	Homo sapiens	4.8
3.1.1.7	Mus musculus	6.0
3.1.1.7	Anopheles gambiae	7.0
3.1.1.7	Colossoma macropomum	7.0
3.1.1.7	Liposcelis entomophila	7.0
3.1.1.7	Pardosa pseudoannulata	7.0
3.1.1.7	Rattus norvegicus	7.0
3.1.1.7	Branchiostoma floridae	7.0
3.1.1.7	Tetronarce californica	7.0
3.1.1.7	Electrophorus electricus	7.0
3.1.1.7	Bungarus fasciatus	7.0
3.1.1.7	Lytechinus variegatus	7.0
3.1.1.7	Clytia hemisphaerica	7.0
3.1.1.7	Drosophila melanogaster	7.0
3.1.1.7	Aphis gossypii	7.2
3.1.1.7	Nippostrongylus brasiliensis	7.2
3.1.1.7	Mytilus galloprovincialis	7.2
3.1.1.7	Pollicipes pollicipes	7.2
3.1.1.7	Perforatus perforatus	7.2
3.1.1.7	Aphis citricidus	7.3
3.1.1.7	Locusta migratoria manilensis	7.4
3.1.1.7	Bactrocera dorsalis	7.4
3.1.1.7	Cavia porcellus	7.4
3.1.1.7	Sus scrofa	7.4
3.1.1.7	Aedes aegypti	7.4
3.1.1.7	Cimex lectularius	7.4
3.1.1.7	Periplaneta americana	7.4
3.1.1.7	Sparus aurata	7.4
3.1.1.7	Culex pipiens	7.4
3.1.1.7	Blattella germanica	7.4
3.1.1.7	Tribolium confusum	7.4
3.1.1.7	Schizaphis graminum	7.4
3.1.1.7	Eisenia andrei	7.4
3.1.1.7	Harmonia axyridis	7.4
3.1.1.7	Dugesia japonica	7.4
3.1.1.7	Vespula maculifrons	7.4
3.1.1.7	Bos taurus	7.4
3.1.1.7	Danio rerio	7.4
3.1.1.7	Gambusia yucatana	7.4
3.1.1.7	Heterorhabditis bacteriophora	7.5
3.1.1.7	Todarodes pacificus	7.5
3.1.1.7	Berryteuthis magister	7.5
3.1.1.7	Ovis aries	7.5
3.1.1.7	Gallotia galloti	7.5
3.1.1.7	Cyprinus carpio	7.6
3.1.1.7	Gammarus pulex	7.8
3.1.1.7	Cichla ocellaris	8.0
3.1.1.7	Parachromis managuensis	8.0
3.1.1.7	Hoplosternum littorale	8.0
3.1.1.7	Sitophilus oryzae	8.0
3.1.1.7	Macroptilium atropurpureum	8.0
3.1.1.7	Diopatra neapolitana	8.0
3.1.1.7	Nephotettix cincticeps Uhler	8.5
3.1.1.7	Pisum sativum	9.0
3.1.1.8	Mus musculus	6.0
3.1.1.8	Homo sapiens	6.8
3.1.1.8	Equus caballus	6.8
3.1.1.8	Lumbricus terrestris	7.0
3.1.1.8	Palaemon serratus	7.0
3.1.1.8	Lumbricus castaneus	7.0
3.1.1.8	Aporrectodea nocturna	7.0
3.1.1.8	Aporrectodea caliginosa	7.0
3.1.1.8	Aporrectodea rosea	7.0
3.1.1.8	Bos taurus	7.0
3.1.1.8	Rattus norvegicus	7.2
3.1.1.8	Sus scrofa	7.4
3.1.1.8	Oryza sativa	7.4
3.1.1.8	Sparus aurata	7.4
3.1.1.8	Eisenia andrei	7.4
3.1.1.8	Parophrys vetulus	7.4
3.1.1.8	Pleuronichthys verticalis	7.4
3.1.1.8	Dugesia japonica	7.4
3.1.1.8	Gambusia yucatana	7.4
3.1.1.8	Todarodes pacificus	7.5
3.1.1.8	Berryteuthis magister	7.5
3.1.1.8	Gallotia galloti	7.5
3.1.1.8	Pseudomonas aeruginosa	7.5
3.1.1.8	Pseudopleuronectes yokohamae	7.6
3.1.1.8	Pecten jacobaeus	7.6
3.1.1.8	Potamopyrgus antipodarum	7.8
3.1.1.8	Valvata piscinalis	7.8
3.1.1.8	Solanum melongena	8.0
3.1.1.8	Oreochromis niloticus	8.0
3.1.1.8	Biomphalaria glabrata	8.0
3.1.1.8	Lumbriculus variegatus	8.0
3.1.1.8	Canis lupus familiaris	8.0
3.1.1.8	Diopatra neapolitana	8.0
3.1.1.8	Vigna radiata var. radiata	8.5
3.1.1.10	Oryctolagus cuniculus	7.0
3.1.1.B10	Rhizoctonia solani	6.0
3.1.1.B10	Neocallimastix sp. MC-2	7.2
3.1.1.11	Athelia rolfsii	2.5
3.1.1.11	Aspergillus niger	3.8
3.1.1.11	Botrytis cinerea	4.0
3.1.1.11	Solanum lycopersicum	4.4
3.1.1.11	Aspergillus japonicus	4.5
3.1.1.11	Aspergillus aculeatus	4.5
3.1.1.11	Aureobasidium pullulans	4.5
3.1.1.11	Aspergillus foetidus	4.6
3.1.1.11	Aspergillus flavus	4.8
3.1.1.11	Coniella diplodiella	4.8
3.1.1.11	Dickeya chrysanthemi	5.0
3.1.1.11	Aspergillus oryzae	5.0
3.1.1.11	Penicillium oxalicum	5.0
3.1.1.11	Sclerotinia libertiana	5.0
3.1.1.11	Citrus sinensis	5.3
3.1.1.11	Vitis sp.	5.5
3.1.1.11	Linum usitatissimum	5.5
3.1.1.11	Olea europaea	5.5
3.1.1.11	Thanatephorus cucumeris	6.0
3.1.1.11	Sitophilus oryzae	6.0
3.1.1.11	Ficus pumila var. awkeotsang	6.0
3.1.1.11	Arabidopsis thaliana	6.0
3.1.1.11	Musa acuminata	6.0
3.1.1.11	Naganishia albida	6.0
3.1.1.11	Actinidia chinensis	6.0
3.1.1.11	Populus tremula x Populus tremuloides	6.1
3.1.1.11	Lasiodiplodia theobromae	6.5
3.1.1.11	Aspergillus pseudoglaucus	6.5
3.1.1.11	Diospyros kaki	6.5
3.1.1.11	Phaseolus vulgaris	6.5
3.1.1.11	Fragaria x ananassa	6.9
3.1.1.11	Acrocylindrium sp.	7.0
3.1.1.11	Phytophthora infestans	7.0
3.1.1.11	Fusarium oxysporum	7.0
3.1.1.11	Theobroma cacao	7.0
3.1.1.11	Carica papaya	7.0
3.1.1.11	Sphenophorus levis	7.0
3.1.1.11	Citrus bergamia	7.0
3.1.1.11	Malus sp.	7.3
3.1.1.11	Oculimacula yallundae	7.5
3.1.1.11	Prunus armeniaca	7.5
3.1.1.11	Solanum betaceum	7.5
3.1.1.11	Capsicum annuum	7.5
3.1.1.11	Daucus carota	7.5
3.1.1.11	Capsicum frutescens	7.5
3.1.1.11	Lactuca sativa	7.5
3.1.1.11	Trichoderma reesei	7.6
3.1.1.11	Citrus reticulata	7.8
3.1.1.11	Citrus reticulata ? Citrus sinensis	7.8
3.1.1.11	Citrus natsudaidai	8.0
3.1.1.11	Hippophae rhamnoides subsp. rhamnoides	8.0
3.1.1.11	Hippophae rhamnoides subsp. mongolica	8.0
3.1.1.11	Malpighia glabra	8.3
3.1.1.11	Psidium guajava	8.5
3.1.1.11	Acetivibrio thermocellus	8.5
3.1.1.11	Datura inoxia	9.0
3.1.1.11	Datura stramonium	9.0
3.1.1.11	Clostridium multifermentans	9.0
3.1.1.11	Citrus nobilis	9.0
3.1.1.11	Datura metel	9.0
3.1.1.B12	Cladophialophora bantiana	7.0
3.1.1.B12	Clonostachys rosea	7.0
3.1.1.B12	Trichoderma aggressivum	7.5
3.1.1.B12	Phialophora americana	8.0
3.1.1.B12	Neurospora crassa	8.0
3.1.1.B12	Exophiala aquamarina	9.0
3.1.1.13	Rattus sp.	3.5
3.1.1.13	Homo sapiens	4.0
3.1.1.13	Oryctolagus cuniculus	4.3
3.1.1.13	Saccharomyces cerevisiae	4.4
3.1.1.13	Sus scrofa	5.5
3.1.1.13	Streptomyces sp.	6.0
3.1.1.13	Ophiostoma piceae	6.0
3.1.1.13	Rattus norvegicus	6.2
3.1.1.13	Bos taurus	6.2
3.1.1.13	Pseudomonas aeruginosa	7.0
3.1.1.13	Acinetobacter sp.	7.0
3.1.1.13	Fusarium oxysporum	7.0
3.1.1.13	Trichoderma sp.	7.0
3.1.1.13	Burkholderia cepacia	7.0
3.1.1.13	Mus musculus	7.0
3.1.1.13	Limtongozyma cylindracea	7.4
3.1.1.14	Secale cereale	6.0
3.1.1.14	Brassica oleracea	6.0
3.1.1.14	Chlamydomonas reinhardtii	6.0
3.1.1.14	Auxenochlorella protothecoides	6.0
3.1.1.14	Chenopodium album	6.6
3.1.1.14	Crocosphaera subtropica ATCC 51142	7.0
3.1.1.14	Phaseolus vulgaris	7.0
3.1.1.14	Pisum sativum	7.0
3.1.1.14	Arabidopsis thaliana	7.0
3.1.1.14	Piper betle	7.0
3.1.1.14	Citrus unshiu	7.0
3.1.1.14	Triticum aestivum	7.0
3.1.1.14	Citrus sinensis	7.4
3.1.1.14	Ginkgo biloba	7.5
3.1.1.14	Beta vulgaris	7.5
3.1.1.14	Prunus domestica	7.6
3.1.1.14	Citrus limon	7.8
3.1.1.14	Prunus padus	7.8
3.1.1.14	Fagus sylvatica	7.8
3.1.1.14	Phaeodactylum tricornutum	8.0
3.1.1.14	Prunus cerasus	8.0
3.1.1.14	Capsicum annuum	8.5
3.1.1.15	Haloferax volcanii	7.5
3.1.1.17	Gluconobacter oxydans	5.0
3.1.1.17	Zymomonas mobilis subsp. mobilis	6.8
3.1.1.17	Zymomonas mobilis	7.0
3.1.1.17	Bos taurus	7.1
3.1.1.17	Homo sapiens	8.3
3.1.1.19	Rattus norvegicus	7.5
3.1.1.20	Aspergillus awamori	2.0
3.1.1.20	Aspergillus oryzae	4.0
3.1.1.20	Aspergillus niger	4.0
3.1.1.20	Quercus robur	4.3
3.1.1.20	Bacillus cereus	4.5
3.1.1.20	Aspergillus japonicus	4.5
3.1.1.20	Rhizopus arrhizus	4.5
3.1.1.20	Kluyveromyces marxianus	4.5
3.1.1.20	Paecilomyces variotii	4.5
3.1.1.20	Lactiplantibacillus plantarum	5.0
3.1.1.20	Bacillus subtilis	5.0
3.1.1.20	Aspergillus nidulans	5.0
3.1.1.20	Penicillium chrysogenum	5.0
3.1.1.20	Lysinibacillus sphaericus	5.0
3.1.1.20	Aspergillus flavus	5.0
3.1.1.20	Aspergillus ochraceus	5.0
3.1.1.20	Aspergillus fumigatus	5.0
3.1.1.20	Aspergillus foetidus	5.0
3.1.1.20	Aspergillus versicolor	5.0
3.1.1.20	Aspergillus aculeatus	5.0
3.1.1.20	Aspergillus tamarii	5.0
3.1.1.20	Penicillium charlesii	5.0
3.1.1.20	Talaromyces variabilis	5.0
3.1.1.20	Bacillus licheniformis	5.0
3.1.1.20	Aureobasidium pullulans	5.0
3.1.1.20	Enterobacter cloacae	5.5
3.1.1.20	Corynebacterium sp.	5.5
3.1.1.20	Klebsiella pneumoniae	5.5
3.1.1.20	Paenibacillus polymyxa	5.5
3.1.1.20	Enterobacter sp.	5.5
3.1.1.20	Penicillium sp.	5.5
3.1.1.20	Hypocreales sp.	5.5
3.1.1.20	Trametes elegans	5.5
3.1.1.20	Aspergillus heteromorphus	5.5
3.1.1.20	Klebsiella pneumoniae subsp. pneumoniae	5.5
3.1.1.20	Fusarium sp.	5.5
3.1.1.20	Trichoderma sp.	5.5
3.1.1.20	Aspergillus fischeri	5.5
3.1.1.20	Blastobotrys adeninivorans	5.7
3.1.1.20	Saccharomyces cerevisiae	6.0
3.1.1.20	Rhodococcus sp.	6.0
3.1.1.20	Streptomyces sp.	6.0
3.1.1.20	Aspergillus phoenicis	6.0
3.1.1.20	Candida sp. (in: Saccharomycetales)	6.0
3.1.1.20	Aspergillus ficuum	6.0
3.1.1.20	Penicillium restrictum	6.0
3.1.1.20	Klebsiella variicola	6.0
3.1.1.20	Fusarium subglutinans	6.0
3.1.1.20	uncultured bacterium	6.4
3.1.1.20	Aspergillus tubingensis	6.4
3.1.1.20	Hyalopus sp.	6.5
3.1.1.20	Escherichia coli	7.0
3.1.1.20	Selenomonas ruminantium	7.0
3.1.1.20	Streptococcus gallolyticus	7.0
3.1.1.20	Staphylococcus lugdunensis	7.0
3.1.1.20	Streptomyces sviceus	8.0
3.1.1.20	Lactiplantibacillus pentosus	8.5
3.1.1.20	Lactiplantibacillus paraplantarum	8.5
3.1.1.20	Serratia ficaria	8.9
3.1.1.22	Paracoccus denitrificans	8.0
3.1.1.22	Zoogloea ramigera	8.0
3.1.1.22	Cupriavidus necator	8.0
3.1.1.22	Alcaligenes faecalis	8.5
3.1.1.23	Rattus norvegicus	5.5
3.1.1.23	Bacillus sp. (in: Bacteria)	6.0
3.1.1.23	Homo sapiens	7.2
3.1.1.23	Mycobacterium tuberculosis	7.5
3.1.1.23	Mycolicibacterium smegmatis	8.0
3.1.1.23	Pseudomonas sp.	8.0
3.1.1.23	Arabidopsis thaliana	8.0
3.1.1.23	Mus musculus	8.8
